"Time","MAC Address","Service Data"
"2022-07-25 15:15:03.905","75:d7:cc:ff:35:43","5afd13741a01-576e36138a9f7449-c30000002c648326"
"2022-07-25 15:15:03.908","70:e9:04:c9:fc:3e","5afd13751a01-576e36138a9f7449-c30000004375fbae"
"2022-07-25 15:30:34.023","63:cf:ff:fd:95:fe","5afd13761a01-576e36138a9f7449-c3000000a587d542"
"2022-07-25 15:46:04.144","76:8b:a9:5c:51:cd","5afd13771a01-79e7abd74ada1a48-c300000013bd5284"
"2022-07-25 16:01:34.265","74:28:9c:2c:84:0b","5afd13781a01-79e7abd74ada1a48-c3000000c36668c9"
"2022-07-25 16:17:04.369","57:08:8f:fb:61:a8","5afd13791a01-79e7abd74ada1a48-c30000005fcffe10"
"2022-07-25 16:32:34.481","6c:d3:f7:41:ee:3a","5afd137a1a01-79e7abd74ada1a48-c3000000ab19743a"
"2022-07-25 16:48:04.549","71:e5:40:98:42:cf","5afd137b1a01-79e7abd74ada1a48-c3000000a78d1b92"
"2022-07-25 17:03:34.630","73:83:a8:82:43:c7","5afd137c1a01-79e7abd74ada1a48-c30000006dc3d50e"
"2022-07-25 17:19:04.747","59:10:e2:87:ca:6a","5afd137d1a01-79e7abd74ada1a48-c30000006d8cadc7"
"2022-07-25 17:34:34.838","5b:ed:52:2e:6c:3f","5afd137e1a01-79e7abd74ada1a48-c3000000463808a2"
"2022-07-25 17:50:04.861","77:c1:ae:6c:e4:77","5afd137f1a01-79e7abd74ada1a48-c3000000a1641f88"
"2022-07-25 18:05:34.973","42:1f:3f:20:68:4b","5afd13801a01-79e7abd74ada1a48-c30000009dc29768"
"2022-07-25 18:21:05.067","68:73:82:9f:05:f9","5afd13811a01-79e7abd74ada1a48-c30000003b5daef6"
"2022-07-25 18:36:35.186","42:c1:13:9c:65:0a","5afd13821a01-79e7abd74ada1a48-c3000000a73944bd"
"2022-07-25 18:52:05.280","41:22:49:42:a2:4c","5afd13831a01-79e7abd74ada1a48-c3000000fc508db5"
"2022-07-25 19:07:35.395","44:69:84:96:4a:cb","5afd13841a01-79e7abd74ada1a48-c3000000fd387aec"
